2026-04-21 17:54:49,241 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getUpdates "HTTP/1.1 200 OK"
2026-04-21 17:54:54,158 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getUpdates "HTTP/1.1 200 OK"
2026-04-21 17:54:54,450 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getFile "HTTP/1.1 200 OK"
2026-04-21 17:54:54,573 | INFO | httpx | HTTP Request: GET https://api.telegram.org/file/bot8457963676%3AAAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/documents/file_0.xlsx "HTTP/1.1 200 OK"
2026-04-21 17:54:56,563 | INFO | httpx | HTTP Request: GET http://127.0.0.1:8000/mappings "HTTP/1.1 200 OK"
2026-04-21 17:54:58,103 | INFO | app.services.agent_service | Parsing tabular file 'TEST_ANALOGS_2.xlsx'
2026-04-21 17:54:58,500 | INFO | app.services.agent_service | Parsed 1680 chars, sending to LLM
2026-04-21 17:54:58,501 | INFO | app.services.extraction_service | Sending 1680 chars of tabular text to gpt-5.4-mini
2026-04-21 17:55:03,670 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 200 OK"
2026-04-21 17:55:04,069 | INFO | app.services.extraction_service | Extracted 7 mapping groups from LLM response
2026-04-21 17:55:04,256 | INFO | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
2026-04-21 17:55:07,970 | INFO | app.repositories.sheets_repository | Appended row 44: ST30813B
2026-04-21 17:55:07,970 | INFO | app.repositories.sheets_repository | Appended row 45: ST38713
2026-04-21 17:55:07,971 | INFO | app.repositories.sheets_repository | Appended row 46: ST30792
2026-04-21 17:55:07,971 | INFO | app.repositories.sheets_repository | Appended row 47: ST38741
2026-04-21 17:55:07,971 | INFO | app.repositories.sheets_repository | Appended row 48: ST38719
2026-04-21 17:55:07,971 | INFO | app.repositories.sheets_repository | Appended row 49: ST30042
2026-04-21 17:55:09,172 | INFO | app.repositories.sheets_repository | Updated row 36: ST30416
2026-04-21 17:55:09,173 | INFO | app.services.agent_service | File 'TEST_ANALOGS_2.xlsx': extracted=7, created=6, updated=1
2026-04-21 17:55:09,175 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getUpdates "HTTP/1.1 200 OK"
2026-04-21 17:55:09,271 | INFO | httpx | HTTP Request: POST http://127.0.0.1:8000/agent/ingest-file "HTTP/1.1 200 OK"
2026-04-21 17:55:09,779 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/sendMessage "HTTP/1.1 200 OK"
2026-04-21 17:55:19,296 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getUpdates "HTTP/1.1 200 OK"
2026-04-21 17:55:29,460 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getUpdates "HTTP/1.1 200 OK"
2026-04-21 17:55:39,593 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getUpdates "HTTP/1.1 200 OK"
2026-04-21 17:55:49,714 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getUpdates "HTTP/1.1 200 OK"
2026-04-21 17:55:59,851 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getUpdates "HTTP/1.1 200 OK"
2026-04-21 17:56:07,254 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getUpdates "HTTP/1.1 200 OK"
2026-04-21 17:56:07,509 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/sendMessage "HTTP/1.1 200 OK"
2026-04-21 17:56:14,372 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getUpdates "HTTP/1.1 200 OK"
2026-04-21 17:56:16,611 | INFO | app.repositories.sheets_repository | Deleted row 49
2026-04-21 17:56:16,640 | INFO | httpx | HTTP Request: DELETE http://127.0.0.1:8000/mappings/ST30042 "HTTP/1.1 200 OK"
2026-04-21 17:56:16,921 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/sendMessage "HTTP/1.1 200 OK"
2026-04-21 17:56:25,575 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getUpdates "HTTP/1.1 200 OK"
2026-04-21 17:56:35,696 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getUpdates "HTTP/1.1 200 OK"
2026-04-21 17:56:45,818 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getUpdates "HTTP/1.1 200 OK"
2026-04-21 17:56:55,950 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getUpdates "HTTP/1.1 200 OK"
2026-04-21 17:57:00,857 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getUpdates "HTTP/1.1 200 OK"
2026-04-21 17:57:01,444 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/sendMessage "HTTP/1.1 200 OK"
2026-04-21 17:57:05,095 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getUpdates "HTTP/1.1 200 OK"
2026-04-21 17:57:05,269 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/sendMessage "HTTP/1.1 200 OK"
2026-04-21 17:57:11,020 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getUpdates "HTTP/1.1 200 OK"
2026-04-21 17:57:11,437 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/sendMessage "HTTP/1.1 200 OK"
2026-04-21 17:57:17,378 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getUpdates "HTTP/1.1 200 OK"
2026-04-21 17:57:19,599 | INFO | app.repositories.sheets_repository | Appended row 49: ST30042
2026-04-21 17:57:19,631 | INFO | httpx | HTTP Request: POST http://127.0.0.1:8000/mappings "HTTP/1.1 201 Created"
2026-04-21 17:57:19,969 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/sendMessage "HTTP/1.1 200 OK"
2026-04-21 17:57:28,549 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getUpdates "HTTP/1.1 200 OK"
2026-04-21 17:57:38,669 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getUpdates "HTTP/1.1 200 OK"
